MARCA_STANDARD,MODELO|CLASE|NUEVA_CATEGORIA|LIVIANOS_PESADOS|MODELO_VEH_STD|COD_NUEVA_CATEGORIA|NUEVO
JAC,A138|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
MERCEDES BENZ,A160|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,A200|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A200|L1A|
CHERY,A21|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
MERCEDES BENZ,A250|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
AUDI,A3|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A3|L1A|
MAZDA,B2500|CAMIONETA|PICK UP|LIVIANOS||L6|SI
MAZDA,B2900|CAMIONETA|PICK UP|LIVIANOS||L6|SI
AUDI,A4|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A4|L1A|
MAZDA,BT50|CAMIONETA|PICK UP|LIVIANOS||L6|SI
AUDI,A5|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A5|L1A|
AUDI,A6|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A6|L1A|
AUDI,A7|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MAZDA,CX 3|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
AUDI,A8|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A8|L1A|
FERRARI,ABARTH 500|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
MAZDA,CX 5|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
MAZDA,CX 7|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
MAZDA,CX 9|CAMIONETA|BAJO RIESGO 2|LIVIANOS||L1B|SI
HYUNDAI,ACCENT|AUTOMOVILES|BAJO RIESGO 2|LIVIANOS|ACCENT|L1B|
HONDA,ACCORD|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|ACCORD|L1A|
MAZDA,MX 5|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|SI
MAZDA,RX 8|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|SI
MG,MG GS|CAMIONETA|CHINO|LIVIANOS|MG|L3|SI
MG,MG6|AUTOMOVILES|CHINO|LIVIANOS||L3|SI
MG,ZS|CAMIONETA|CHINO|LIVIANOS|ZS|L3|SI
MITSUBISHI,DK|CAMIONETA|PICK UP|LIVIANOS||L6|SI
MITSUBISHI,ECLIPSE CROSS|CAMIONETA|BAJO RIESGO 1|LIVIANOS|ECLIPSE CROSS|L1A|SI
MITSUBISHI,ENDEAVOR V AMERICANA|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
MITSUBISHI,HXK|AUTOMOVILES|TIMON CAMBIADO|||L4|SI
NISSAN,BBWAL|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|SI
NISSAN,F35|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|SI
NISSAN,KICKS EXCLUSIVE CVT|CAMIONETA|BAJO RIESGO 1|LIVIANOS|KICKS EXCLUSIVE CVT|L1A|SI
NISSAN,PULSAR CETICO|AUTOMOVILES|TIMON CAMBIADO|||L4|SI
NISSAN,ROGUE V  AMERICANA|CAMIONETA|VERSION AMERICANA|||L10|SI
SUBARU,1.8|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
NISSAN,SENTRA SENSE CVT|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|SENTRA SENSE CVT|L1A|SI
NISSAN,UFL|CAMIONETA|PICK UP|LIVIANOS||L6|SI
PEUGEOT,106|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
NISSAN,WJL|AUTOMOVILES|VAN||||SI
NISSAN,XTRAIL EXCLUSIVE CVT 4X4|CAMIONETA|BAJO RIESGO 1|LIVIANOS|Xtrail exclusive cvt 4x4|L1A|SI
VOLKSWAGEN,113|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|113|L1A|
PEUGEOT,3008 GT LINE1 6 AT 165HP|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
PORSCHE,MACAN|CAMIONETA|BAJO RIESGO 1|LIVIANOS|MACAN|L1A|SI
BMW,114I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|114I|L1A|
RENAULT,CAPTUR|CAMIONETA|BAJO RIESGO 3||CAPTUR||SI
BMW,116I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|116I|L1A|
RENAULT,DUSTER INTENS 1.6 MT|CAMIONETA|MEDIANO RIESGO||DUSTER INTENS 1.6 MT|L2|SI
LIFAN,120|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS|120|L3|
VOLKSWAGEN,1200|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,120I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|120I|L1A|
RENAULT,HZG|CAMIONETA|BAJO RIESGO 2|LIVIANOS||L1B|SI
RENAULT,OROCH|CAMIONETA|PICK UP|LIVIANOS|OROCH|L6|SI
RTM,125|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
BMW,125I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
SUZUKI,CIAZ SPORT GLX AT|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|CIAZ SPORT GLX AT|L1A|SI
SUZUKI,ERTIGA|CAMIONETA|VAN||ERTIGA||SI
HYUNDAI,130|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
SUZUKI,ERTIGA 1 4 GL AT|CAMIONETA|MEDIANO RIESGO|||L2|SI
VOLKSWAGEN,1300|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|1300|L1A|
BMW,130I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|130I|L1A|
SUZUKI,ERTIGA 1 4 GL MT|CAMIONETA|MEDIANO RIESGO|||L2|SI
SUZUKI,S CROSS|AUTOMOVILES|MEDIANO RIESGO|||L2|SI
AUDI,RS3|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|RS3|L1A|SI
TOYOTA,4RUNNER|CAMIONETA|BAJO RIESGO 2|LIVIANOS||L1B|SI
BMW,135CI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,135I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|135I|L1A|
TOYOTA,AGYA|AUTOMOVILES|MEDIANO RIESGO||Agya|L2|SI
TOYOTA,KUN51L IKMSY|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
TOYOTA,NCP|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|SI
ALFA ROMEO,147|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
TOYOTA,PICK UP|CAMIONETA|PICK UP|LIVIANOS|PICK UP|L6|SI
TOYOTA,PROBOX CETICOS|CAMIONETA|NO ASEGURABLE|||LX|SI
TOYOTA,PZJ7|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
TOYOTA,SX 4254|AUTOMOVILES|REMOLCADOR|PESADOS||P2|SI
RTM,150|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
HONDA,150|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
VOLKSWAGEN,1500|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|1500|L1A|
TOYOTA,YK110L|CAMIONETA|PICK UP|LIVIANOS||L6|SI
VOLKSWAGEN,AMARAOK COMFORTLINE BITDI 4|CAMIONETA|NO ASEGURABLE||AMARAOK COMFORTLINE BITDI 4|LX|SI
VOLKSWAGEN,POLO TRENDLINE 1 6 TIP|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|SI
VOLKSWAGEN,SPACE|CAMIONETA|BAJO RIESGO 2|LIVIANOS||L1B|SI
ALFA ROMEO,155|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|155|L1A|
ALFA ROMEO,156|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
ALFA ROMEO,159|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLKSWAGEN,1600|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLKSWAGEN,TRACK|CAMIONETA|BAJO RIESGO 1|LIVIANOS|TRA|L1A|SI
VOLKSWAGEN,TREND & FUN|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
VOLKSWAGEN,VIRTUS|AUTOMOVILES|BAJO RIESGO 3||virtus||SI
ALFA ROMEO,164|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLKSWAGEN,VOYAGER|AUTOMOVILES|BAJO RIESGO 3||VOYAGER||SI
VOLVO,V40|CAMIONETA|BAJO RIESGO 1|LIVIANOS|V40|L1A|SI
VOLVO,V50|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
VOLVO,V60|CAMIONETA|BAJO RIESGO 1|LIVIANOS|V60|L1A|SI
VOLVO,V70|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
VOLVO,V90 CROSS|CAMIONETA|BAJO RIESGO 1|LIVIANOS|V90 CROSS|L1A|SI
VOLVO,XC40|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
VOLVO,XC60 T6 AWB MY19|CAMIONETA|BAJO RIESGO 1|LIVIANOS|Xc60 t6 awb my19|L1A|SI
ZOTYE,NOMADE|CAMIONETA|CHINO|LIVIANOS||L3|SI
DODGE,GRAND CARAVAN|CAMIONETA|BAJO RIESGO 1|LIVIANOS|GRAND CARAVAN|L1A|SI
HONDA,ACCORD CETICO|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|ACCORD|L1A|SI
JAGUAR,E PACE|CAMIONETA|BAJO RIESGO 1|LIVIANOS|E PACE|L1A|SI
JEEP,PATRIOT V  AMERICANA|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
MAZDA,5|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
FORD,EXPLORER V AMERICANA|CAMIONETA|BAJO RIESGO 2|LIVIANOS||L1B|SI
HONDA,WR V|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
HONDA,ORTHIA CETICO|CAMIONETA|TIMON CAMBIADO||ORTHIA|L4|SI
PORSCHE,180|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
AUSTIN,1800|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
RENAULT,19|AUTOMOVILES|BAJO RIESGO 2|LIVIANOS||L1B|
MERCEDES BENZ,190|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,1M|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
RTM,200|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS|200|L9|
ROVER,200|AUTOMOVILES|NO ASEGURABLE|LIVIANOS|200|LX|
NISSAN,200|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|200|L1A|
MERCEDES BENZ,200|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|200|L1A|
ZOTYE,2008|RURALES|CHINOS E INDIOS|LIVIANOS|2008|L3|
PEUGEOT,205|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|205|L1A|
PEUGEOT,206|AUTOMOVILES|BAJO RIESGO 2|LIVIANOS|206|L1B|
PEUGEOT,207|AUTOMOVILES|BAJO RIESGO 2|LIVIANOS|207|L1B|
PEUGEOT,208|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|208|L1A|
LADA,2101|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
LADA,2106|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
LADA,2108|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
VOLKSWAGEN,211|PANEL|PANEL|LIVIANOS||L5|
ROVER,214|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
MERCEDES BENZ,220|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
KAWASAKI,22R|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
MERCEDES BENZ,230|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLVO,240|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
NISSAN,240|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
MERCEDES BENZ,240|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLVO,244|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLVO,245|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,250|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,280|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
DATSUN,280|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
BAJAJ,2T|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
BMW,3|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|3|L1A|
HAIMA,3|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS|3|L3|
ACURA,3.5|AUTOMOVILES|NO ASEGURABLE|LIVIANOS|3.5|LX|
MERCEDES BENZ,300|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|300|L1A|
CHRYSLER,300|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|300|L1A|
MITSUBISHI,3000|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
PEUGEOT,3005|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
PEUGEOT,3008|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|3008|L1A|
PEUGEOT,301|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|301|L1A|
PEUGEOT,306|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
PEUGEOT,307|AUTOMOVILES|BAJO RIESGO 2|LIVIANOS|307|L1B|
PEUGEOT,308|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|308|L1A|
DATSUN,310|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
BMW,315I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,316I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|316|L1A|
BMW,318CI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,318I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|318I|L1A|
MERCEDES BENZ,320|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
LIFAN,320|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
BMW,320CI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,320D|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,320I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|320I|L1A|
MAZDA,323|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,323CI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,323I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|323I|L1A|
BMW,325CI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,325I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|325I|L1A|
BMW,328CI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,328I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|328I|L1A|
ALFA ROMEO,33|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,330CI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,330I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|330I|L1A|
VOLKSWAGEN,331|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|331|L1A|
BMW,335CI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,335I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|335I|L1A|
YAMAHA,350|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS|350|L9|
NISSAN,350|AUTOMOVILES|NO ASEGURABLE|LIVIANOS|350|LX|
MG,350|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS|350|L3|
MERCEDES BENZ,350|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|350|L1A|
FORD,350|PICK UP|PICK UP|LIVIANOS|350|L6|
BMW,355I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLVO,360|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
NISSAN,370|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
JAGUAR,38 S|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
MERCEDES BENZ,380|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
TOYOTA,4 RUNNER|RURALES|BAJO RIESGO 1|LIVIANOS|4RUNNER|L1A|
YAMAHA,400|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
ROVER,400|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
PEUGEOT,4007|RURALES|BAJO RIESGO 1|LIVIANOS||L1A|
PEUGEOT,404|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
PEUGEOT,405|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
PEUGEOT,406|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
PEUGEOT,407|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|407|L1A|
ROVER,416|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
BMW,428I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|428I|L1A|
BMW,435I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|435I|L1A|
VOLVO,440|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLVO,445|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLVO,450|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|450|L1A|
MERCEDES BENZ,450|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|450|L1A|
KTM,450|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS|450|L9|
FERRARI,458|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
VOLVO,460|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLVO,480|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BAJAJ,4T|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
MAZDA,5|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,500|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|500|L1A|
FIAT,500|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|500|L1A|
PEUGEOT,5008|RURALES|BAJO RIESGO 1|LIVIANOS|5008|L1A|
PEUGEOT,508|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|508|L1A|
BMW,518I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|518I|L1A|
LIFAN,520|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
BMW,520I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|520I|L1A|
BMW,523I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|523I|L1A|
BMW,525D|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|525D|L1A|
BMW,525I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|525I|L1A|
BMW,528I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|528I|L1A|
LIFAN,52O|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
BMW,530D|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|530D|L1A|
BMW,530I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|530I|L1A|
BMW,535I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|535I|L1A|
BMW,540I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|540I|L1A|
BMW,545I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,545IA|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|545IA|L1A|
MG,550|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
BMW,550I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|550I|L1A|
MERCEDES BENZ,560|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MAZDA,6|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|6|L1A|
ROVER,600|AUTOMOVILES|NO ASEGURABLE|LIVIANOS|600|LX|
PEUGEOT,605|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
PEUGEOT,607|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
LIFAN,620|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
MAZDA,626|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,630I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,633CSI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,640I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|640I|L1A|
BMW,645CI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
FIAT,650|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,650I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
NISSAN,720|PICK UP|PICK UP|LIVIANOS||L6|
BMW,735I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|735I|L1A|
VOLVO,740|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,740|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,740I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|740I|L1A|
BMW,740LI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|740I|L1A|
VOLVO,744|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,745I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MG,750|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
BMW,750I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|750I|L1A|
BMW,750LI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|750I|L1A|
VOLVO,760|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
AUDI,Q5 DESIGN 2 0TFSI QUATTRO ST|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
HONDA,CR V EX  T 2WD|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
LAND ROVER,EVOQUE|CAMIONETA|BAJO RIESGO 1|LIVIANOS|EVOQUE|L1A|SI
CHEVROLET,D MAX|CAMIONETA|PICK UP|LIVIANOS||L6|SI
FIAT,IDEA|CAMIONETA|BAJO RIESGO 2|LIVIANOS||L1B|SI
FAW,OLEY|AUTOMOVILES|CHINO|LIVIANOS||L3|SI
CHERY,ARRIZO 5|AUTOMOVILES|CHINO|LIVIANOS|ARRIZO 5|L3|SI
DONGFENG,X3|CAMIONETA|CHINO|LIVIANOS|X3|L3|SI
GEELY,LC CROSS|AUTOMOVILES|CHINO|LIVIANOS||L3|SI
CHEVROLET,HD78|CAMION|PESADOS||HD78|P1|SI
AUDI,80|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
PEUGEOT,806|RURALES|BAJO RIESGO 1|LIVIANOS||L1A|
PEUGEOT,807|RURALES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,812|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLVO,850|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|850|L1A|
BMW,850CI|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
BMW,850I|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
TOYOTA,86|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
PORSCHE,911|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
PORSCHE,928|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLVO,940|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
PORSCHE,944|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLVO,960|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
PORSCHE,986|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
KTM,990|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
PORSCHE,993|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
JAC,A0|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
AUDI,A1|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A1|L1A|
MERCEDES BENZ,C 240|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
